,name,rating,review,ctype,hq,old,employees
0,TCS,3.9,(27.7k Reviews),Public,"Mumbai,Maharashtra + 208 more",54 years old,1 Lakh+ employees (India)
1,Accenture,4.0,(21.1k Reviews),Public,"Dublin,Dublin + 121 more",33 years old,1 Lakh+ employees (India)
2,Cognizant,3.9,(19.4k Reviews),Private,"Teaneck,New Jersey + 72 more",28 years old,1 Lakh+ employees (India)
3,ICICI Bank,4.0,(18.8k Reviews),Public,"Mumbai,Maharashtra + 905 more",28 years old,50k-1 Lakh employees (India)
4,HDFC Bank,4.0,(16.6k Reviews),Public,"Mumbai,Maharashtra + 977 more",28 years old,1 Lakh+ employees (India)
5,Wipro,3.8,(15.4k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 225 more",77 years old,1 Lakh+ employees (India)
6,Capgemini,3.7,(14.5k Reviews),Public,Paris + 61 more,55 years old,1 Lakh+ employees (India)
7,HCL Technologies,3.8,(14.2k Reviews),Public,"Noida,Uttar Pradesh + 138 more",46 years old,1 Lakh+ employees (India)
8,Infosys,3.9,(14k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 101 more",41 years old,1 Lakh+ employees (India)
9,Tech Mahindra,3.6,(13.2k Reviews),Public,"Pune,Maharashtra + 145 more",36 years old,50k-1 Lakh employees (India)
10,Genpact,4.0,(12.3k Reviews),Private,"New York,New York + 50 more",25 years old,50k-1 Lakh employees (India)
11,Axis Bank,3.8,(11.8k Reviews),Public,"Mumbai,Maharashtra + 883 more",29 years old,50k-1 Lakh employees (India)
12,Vodafone Idea,4.2,(11.5k Reviews),Public,"Gandhinagar,Gujrat + 508 more",4 years old,10k-50k employees (India)
13,L&T,4.0,(11.3k Reviews),Public,"Mumbai,Maharashtra + 438 more",84 years old,10k-50k employees (India)
14,Reliance jio,4.0,(11.2k Reviews),Public,"Navi Mumbai,Maharashtra + 803 more",15 years old,10k-50k employees (India)
15,IBM,4.1,(11k Reviews),Public,New York + 99 more,111 years old,50k-1 Lakh employees (India)
16,Concentrix Corpora...,4.1,(10.7k Reviews),Public,"Fremont,California + 53 more",39 years old,10k-50k employees (India)
17,Amazon,4.2,(9.9k Reviews),Private,"Seattle,Washington + 279 more",18 years old,10k-50k employees (India)
18,HDB Financial Serv...,4.0,(9.7k Reviews),Private,"Ahmedabad,Gujrat + 632 more",15 years old,1 Lakh+ employees (India)
19,Kotak Mahindra Ban...,3.9,(7.6k Reviews),Public,"Mumbai,Maharashtra + 414 more",19 years old,10k-50k employees (India)
20,Tata Motors,4.1,(7.3k Reviews),Public,"Pune,Maharashtra + 345 more",77 years old,50k-1 Lakh employees (India)
21,Teleperformance,3.6,(7.3k Reviews),Private,Paris + 89 more,44 years old,50k-1 Lakh employees (India)
22,Bharti Airtel,4.1,(7.2k Reviews),Public,"Gurgaon/Gurugram,Haryana + 416 more",27 years old,5k-10k employees (India)
23,Reliance Industrie...,4.0,(6.8k Reviews),Public,"Navi Mumbai,Maharashtra + 336 more",49 years old,1 Lakh+ employees (India)
24,Deloitte,3.9,(5.8k Reviews),Private,"New York,New York + 102 more",177 years old,10k-50k employees (India)
25,Mahindra & Mahindr...,4.2,(5.3k Reviews),Public,"Mumbai,Maharashtra + 344 more",77 years old,10k-50k employees (India)
26,IndusInd Bank,3.8,(5.2k Reviews),Public,"Gurgaon/Gurugram,Haryana + 468 more",28 years old,10k-50k employees (India)
27,Hinduja Global Sol...,3.9,(5k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 64 more",22 years old,10k-50k employees (India)
28,Reliance Retail,4.1,(4.7k Reviews),Private,"Navi Mumbai,Maharashtra + 349 more",16 years old,1 Lakh+ employees (India)
29,WNS,3.7,(4.7k Reviews),Private,"Mumbai,Maharashtra + 18 more",26 years old,10k-50k employees (India)
30,Samsung,4.1,(4.7k Reviews),Private,"Suwon-Si,Gyeonggi-Do + 383 more",84 years old,50k-1 Lakh employees (India)
31,Maruti Suzuki,4.1,(4.6k Reviews),Public,"New Delhi,Delhi + 335 more",39 years old,10k-50k employees (India)
32,Indian Army,4.7,(4.5k Reviews),"New Delhi,Delhi + 252 more",127 years old,1 Lakh+ employees (India),
33,DXC Technology,3.5,(4.5k Reviews),Public,Virginia + 47 more,31 years old,10k-50k employees (India)
34,Flipkart,4.1,(4.1k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 306 more",15 years old,10k-50k employees (India)
35,Infosys BPM,4.0,(4.1k Reviews),"Bangalore/Bengaluru,Karnataka + 34 more",20 years old,10k-50k employees (India),
36,Ericsson,4.2,(4k Reviews),Private,"Kista,Stockholm + 121 more",146 years old,10k-50k employees (India)
37,Bajaj Finserv,4.0,(3.9k Reviews),Public,Pune + 535 more,15 years old,10k-50k employees (India)
38,HSBC,4.1,(3.8k Reviews),Private,"Pune,Maharashtra + 47 more",20 years old,10k-50k employees (India)
39,Ernst & Young,3.7,(3.8k Reviews),Private,London + 55 more,20 years old,50k-1 Lakh employees (India)
40,Startek,3.6,(3.8k Reviews),"Mumbai,Maharashtra + 45 more",5 years old,1k-5k employees (India),
41,Dr. Reddy's,4.2,(3.7k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 117 more",36 years old,10k-50k employees (India)
42,Conneqt Business S...,3.8,(3.7k Reviews),"Mumbai,Maharashtra + 131 more",20 years old,10k-50k employees (India),
43,Jana Small Finance...,3.9,(3.7k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 276 more",16 years old,10k-50k employees (India)
44,Cipla Pharmaceutic...,4.0,(3.7k Reviews),Public,"Mumbai,Maharashtra + 170 more",87 years old,10k-50k employees (India)
45,ICICI Prudential L...,4.1,(3.6k Reviews),Public,"Mumbai,Maharashtra + 363 more",22 years old,10k-50k employees (India)
46,Sutherland Global ...,3.8,(3.6k Reviews),Private,"Pittsford,New York + 32 more",36 years old,10k-50k employees (India)
47,Mphasis,3.7,(3.4k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 35 more",22 years old,1k-5k employees (India)
48,Bajaj Allianz Life...,4.1,(3.4k Reviews),Private,Pune + 378 more,21 years old,10k-50k employees (India)
49,Home Credit Financ...,4.2,(3.3k Reviews),Private,Gurugram + 95 more,10 years old,10k-50k employees (India)
50,IDFC FIRST Bank,3.8,(3.3k Reviews),Public,"Mumbai,Maharashtra + 266 more",4 years old,10k-50k employees (India)
51,Lupin,4.2,(3.3k Reviews),Public,"Mumbai,Maharashtra + 117 more",54 years old,10k-50k employees (India)
52,Yes Bank,3.9,(3.3k Reviews),Public,"Mumbai,Maharashtra + 298 more",18 years old,10k-50k employees (India)
53,Asian Paints,4.3,(3.3k Reviews),Public,"Mumbai,Maharashtra + 272 more",80 years old,5k-10k employees (India)
54,Intelenet Global S...,3.7,(3.2k Reviews),Private,"Mumbai,Maharashtra + 55 more",22 years old,10k-50k employees (India)
55,HDFC LIFE,4.1,(3.2k Reviews),"Mumbai,Maharashtra + 352 more",22 years old,10k-50k employees (India),
56,ITC,4.0,(3.1k Reviews),Public,"Kolkata,West Bengal + 193 more",47 years old,10k-50k employees (India)
57,Hewlett-Packard En...,4.3,(3k Reviews),Private,"Palo Alto,California + 76 more",83 years old,10k-50k employees (India)
58,NTT DATA,3.8,(3k Reviews),Private,"Chiyoda City,Tokyo + 30 more",34 years old,10k-50k employees (India)
59,Reliance Communica...,4.0,(3k Reviews),Public,"Navi Mumbai,Maharashtra + 347 more",20 years old,10k-50k employees (India)
60,Zydus Cadila,4.1,(3k Reviews),Public,"Ahmedabad, India + 122 more",70 years old,10k-50k employees (India)
61,OPPO,4.1,(2.9k Reviews),Public,"Dongguan,Guangdong + 281 more",18 years old,10k-50k employees (India)
62,Bajaj Finance,4.2,(2.9k Reviews),Private,"Pune,Maharashtra + 517 more",35 years old,1k-5k employees (India)
63,Future Group,4.2,(2.9k Reviews),Private,"Mumbai,Maharashtra + 183 more",9 years old,50k-1 Lakh employees (India)
64,Hindustan Unilever...,4.3,(2.9k Reviews),Public,"Mumbai,Maharashtra + 289 more",89 years old,10k-50k employees (India)
65,EXL Service,3.8,(2.9k Reviews),Private,"New York,New York + 27 more",23 years old,10k-50k employees (India)
66,Ujjivan Small Fina...,4.1,(2.8k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 323 more",5 years old,10k-50k employees (India)
67,Ashok Leyland,4.2,(2.8k Reviews),Public,"Chennai,Tamil Nadu + 167 more",74 years old,10k-50k employees (India)
68,Shapoorji Pallonji,4.2,(2.8k Reviews),Private,"Mumbai,Maharashtra + 120 more",157 years old,1k-5k employees (India)
69,Mahindra & Mahindr...,4.3,(2.8k Reviews),Public,"Mumbai,Maharashtra + 483 more",31 years old,10k-50k employees (India)
70,Udaan,4.2,(2.7k Reviews),Private,Bangalore + 258 more,6 years old,1k-5k employees (India)
71,UltraTech Cement,4.3,(2.7k Reviews),Public,"Mumbai,Maharashtra + 268 more",39 years old,10k-50k employees (India)
72,Apollo Hospitals,4.1,(2.7k Reviews),Public,"Chennai,Tamil Nadu + 142 more",39 years old,50k-1 Lakh employees (India)
73,Shriram Transport ...,4.2,(2.7k Reviews),Public,"Mumbai,Maharashtra + 546 more",43 years old,10k-50k employees (India)
74,Sun Pharmaceutical...,4.0,(2.7k Reviews),Public,Mumbai + 126 more,39 years old,10k-50k employees (India)
75,Paytm,3.7,(2.7k Reviews),Private,Noida + 195 more,12 years old,10k-50k employees (India)
76,IIFL,3.8,(2.7k Reviews),Public,"Mumbai,Maharashtra + 364 more",27 years old,5k-10k employees (India)
77,Larsen & Toubro In...,3.9,(2.6k Reviews),Public,"Mumbai,Maharashtra + 70 more",26 years old,10k-50k employees (India)
78,Nokia,4.3,(2.6k Reviews),Private,"Espoo,Southern Finland + 159 more",157 years old,10k-50k employees (India)
79,Wipro BPS,3.8,(2.6k Reviews),Bengaluru + 30 more,22 years old,1 Lakh+ employees (India),
80,Vivo,4.1,(2.6k Reviews),Private,"Gurgaon/Gurugram,Haryana + 281 more",13 years old,5k-10k employees (India)
81,Aurobindo Pharma,4.1,(2.6k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 40 more",36 years old,1k-5k employees (India)
82,Oyo Rooms,3.5,(2.5k Reviews),Private,Gurgaon + 96 more,9 years old,1k-5k employees (India)
83,PwC,3.6,(2.5k Reviews),Partnership,London + 53 more,24 years old,5k-10k employees (India)
84,TVS Motor,4.1,(2.4k Reviews),Public,"Chennai,Tamil Nadu + 211 more",43 years old,5k-10k employees (India)
85,Siemens,4.2,(2.4k Reviews),Public,Munich + 87 more,30 years old,1k-5k employees (India)
86,eClerx,3.7,(2.3k Reviews),Public,"Mumbai,Maharashtra + 15 more",22 years old,5k-10k employees (India)
87,JP Morgan Chase,4.1,(2.3k Reviews),Private,"New York,New York + 15 more",22 years old,10k-50k employees (India)
88,Max Life Insurance,4.2,(2.3k Reviews),"Gurgaon/Gurugram,Haryana + 230 more",22 years old,10k-50k employees (India),
89,KPMG,3.7,(2.3k Reviews),"Amstelveen,North Holland + 44 more",35 years old,10k-50k employees (India),
90,Hero MotoCorp,4.2,(2.2k Reviews),Public,"Gurgaon/Gurugram,Haryana + 224 more",38 years old,5k-10k employees (India)
91,Cyient,3.6,(2.2k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 24 more",31 years old,10k-50k employees (India)
92,Atos Syntel,3.7,(2.2k Reviews),Private,"Troy,Michigan + 14 more",42 years old,10k-50k employees (India)
93,Hyundai Motor,4.3,(2.2k Reviews),Private,Seoul + 193 more,55 years old,5k-10k employees (India)
94,Wipro Consumer Ca...,3.8,(2.2k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 62 more",77 years old,1k-5k employees (India)
95,JustDial,3.7,(2.2k Reviews),Public,"Mumbai,Maharashtra + 110 more",26 years old,10k-50k employees (India)
96,Axis Direct,4.0,(2.2k Reviews),Private,"Mumbai,Maharashtra + 259 more",11 years old,1k-5k employees (India)
97,Bandhan Bank,3.9,(2.2k Reviews),Public,"Kolkata,West Bengal + 395 more",21 years old,10k-50k employees (India)
98,JLL,4.2,(2.2k Reviews),Private,"Mumbai,Maharashtra + 52 more",25 years old,10k-50k employees (India)
99,Oracle,3.8,(2.2k Reviews),Public,"Redwood City,California + 26 more",45 years old,10k-50k employees (India)
100,Bosch,4.2,(2.2k Reviews),Public,"Gerlingen,Baden-Wuerttemberg + 72 more",136 years old,10k-50k employees (India)
101,Tata Projects,4.2,(2.2k Reviews),Public,"Mumbai,Maharashtra + 165 more",43 years old,1k-5k employees (India)
102,Fidelity National ...,4.0,(2.1k Reviews),Private,"Jacksonville,Florida + 27 more",17 years old,10k-50k employees (India)
103,BYJU'S,2.9,(2.1k Reviews),Private,Bangalore + 92 more,11 years old,1k-5k employees (India)
104,JSW Steel,3.9,(2.1k Reviews),Public,"Mumbai,Maharashtra + 76 more",40 years old,10k-50k employees (India)
105,Mindtree,4.0,(2.1k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 20 more",23 years old,10k-50k employees (India)
106,Aditya Birla Fashi...,4.3,(2.1k Reviews),Private,Mumbai + 169 more,7 years old,10k-50k employees (India)
107,Godrej & Boyce Man...,4.0,(2.1k Reviews),Private,"Mumbai,Maharashtra + 112 more",125 years old,10k-50k employees (India)
108,Dominos Pizza,4.2,(2.1k Reviews),Public,"Ypsilanti,Michigan + 179 more",62 years old,1k-5k employees (India)
109,First Source,3.9,(2.1k Reviews),Public,"Mumbai,Maharashtra + 39 more",21 years old,5k-10k employees (India)
110,AU Small Finance B...,3.9,(2.1k Reviews),Private,"Jaipur,Rajasthan + 234 more",26 years old,10k-50k employees (India)
111,UnitedHealth,4.2,(2k Reviews),Private,"Minnetonka,Minnesota + 11 more",45 years old,10k-50k employees (India)
112,Viatris,4.2,(2k Reviews),"Canonsburg,Pennsylvania + 54 more",61 years old,1k-5k employees (India),
113,Dell,4.0,(2k Reviews),Private,"Round Rock,Texas + 72 more",38 years old,50k-1 Lakh employees (India)
114,Delhivery,4.2,(2k Reviews),Private,Delhi + 337 more,11 years old,10k-50k employees (India)
115,TATA Steel,4.1,(2k Reviews),Public,"Mumbai,Maharashtra + 98 more",115 years old,10k-50k employees (India)
116,iEnergizer,3.4,(2k Reviews),Private,"Noida,Uttar Pradesh + 13 more",22 years old,10k-50k employees (Global)
117,Fullerton India,4.2,(1.9k Reviews),Private,Mumbai + 339 more,15 years old,10k-50k employees (India)
118,Omega Healthcare,3.7,(1.9k Reviews),Private,Florida + 21 more,18 years old,1k-5k employees (India)
119,Hexaware Technolog...,3.5,(1.9k Reviews),Public,"Mumbai,Maharashtra + 22 more",32 years old,10k-50k employees (India)
120,Manappuram Finance,4.0,(1.9k Reviews),Public,"Thrissur/Trichur,Kerala + 309 more",73 years old,10k-50k employees (India)
121,Muthoot Group,3.8,(1.9k Reviews),Public,"Kochi/Cochin,Kerala + 302 more",135 years old,1k-5k employees (India)
122,Wells Fargo India,4.1,(1.9k Reviews),Private,"San Francisco,California + 10 more",24 years old,10k-50k employees (India)
123,SBI Cards & Paymen...,3.9,(1.9k Reviews),Public,"Gurgaon/Gurugram,Haryana + 193 more",24 years old,1k-5k employees (India)
124,State Bank of Indi...,4.0,(1.9k Reviews),"Mumbai,Maharashtra + 268 more",216 years old,1 Lakh+ employees (India),
125,Royal Enfield,4.2,(1.9k Reviews),Private,"Gurgaon/Gurugram,Haryana + 193 more",67 years old,1k-5k employees (India)
126,Megha Engineering ...,4.3,(1.8k Reviews),Private,"Hyderabad/Secunderabad,Telangana + 137 more",33 years old,5k-10k employees (India)
127,Honda,4.2,(1.8k Reviews),Private,"Greater Noida,Uttar Pradesh + 167 more",37 years old,5k-10k employees (India)
128,Motherson Sumi Sys...,3.9,(1.8k Reviews),Public,"Noida,Uttar Pradesh + 55 more",36 years old,1k-5k employees (India)
129,Nagarjuna Construc...,4.1,(1.8k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 150 more",24 years old,201-500 employees (India)
130,JBM Group,4.0,(1.8k Reviews),Public,"Gurgaon/Gurugram,Haryana + 66 more",39 years old,1k-5k employees (India)
131,Simplex Infrastruc...,3.7,(1.8k Reviews),Public,"Kolkata,West Bengal + 111 more",98 years old,1k-5k employees (India)
132,Wipro Enterprises ...,3.8,(1.8k Reviews),Bangalore + 59 more,77 years old,1 Lakh+ employees (India),
133,BNY Mellon,4.0,(1.8k Reviews),Private,"New York City,New York + 6 more",18 years old,10k-50k employees (India)
134,Sodexo,4.1,(1.8k Reviews),Private,Issy Les Moulineaux + 96 more,14 years old,5k-10k employees (India)
135,Muthoot Fincorp,4.0,(1.8k Reviews),Private,"Trivandrum/Thiruvananthapuram,Kerala + 340 more",135 years old,10k-50k employees (India)
136,Arvind Group,4.1,(1.8k Reviews),Public,"Ahmedabad,Gujrat + 125 more",91 years old,10k-50k employees (India)
137,Tata Communication...,4.1,(1.8k Reviews),Public,"Mumbai,Maharashtra + 85 more",36 years old,10k-50k employees (India)
138,LG Electronics,4.1,(1.8k Reviews),Public,"Seoul,Seoul + 165 more",64 years old,5k-10k employees (India)
139,Flex,4.0,(1.7k Reviews),Private,San Jose + 29 more,53 years old,10k-50k employees (India)
140,Hindustan Coca Col...,4.4,(1.7k Reviews),Private,Bangalore + 149 more,25 years old,1k-5k employees (India)
141,Cgi Group,4.1,(1.7k Reviews),Private,"Montreal,Quebec + 8 more",31 years old,10k-50k employees (India)
142,Abbott Healthcare,4.2,(1.7k Reviews),Public,"Illinois City,Illinois + 128 more",31 years old,10k-50k employees (India)
143,Hetero Drugs,4.0,(1.7k Reviews),Private,"Hyderabad/Secunderabad,Telangana + 29 more",29 years old,1k-5k employees (India)
144,Equitas Small Fina...,4.0,(1.7k Reviews),Private,"Chennai,Tamil Nadu + 246 more",15 years old,1k-5k employees (India)
145,Bajaj Auto,3.9,(1.7k Reviews),Public,"Pune,Maharashtra + 171 more",77 years old,201-500 employees (India)
146,Gati kwe,4.1,(1.7k Reviews),Private,"Hyderabad/Secunderabad,Telangana + 136 more",10 years old,1k-5k employees (India)
147,Ford Motor,4.5,(1.7k Reviews),Public,"Dearborn,Michigan + 92 more",119 years old,5k-10k employees (India)
148,L & T Finance,4.0,(1.7k Reviews),Public,"Mumbai,Maharashtra + 319 more",28 years old,10k-50k employees (India)
149,John Deere,4.3,(1.7k Reviews),Private,"Moline,Illinois + 80 more",21 years old,1k-5k employees (India)
150,Quess,4.1,(1.7k Reviews),Public,Bangalore + 234 more,15 years old,1k-5k employees (India)
151,Shoppers Stop,4.3,(1.7k Reviews),Public,"Mumbai,Maharashtra + 53 more",31 years old,10k-50k employees (India)
152,Subros,3.9,(1.7k Reviews),Public,"Noida,Uttar Pradesh + 29 more",37 years old,1k-5k employees (India)
153,ICICI Lombard Gene...,3.9,(1.7k Reviews),Public,"Mumbai,Maharashtra + 163 more",21 years old,5k-10k employees (India)
154,D Mart,4.1,(1.7k Reviews),Private,"Mumbai,Maharashtra + 119 more",22 years old,5k-10k employees (India)
155,McDonald's,4.2,(1.7k Reviews),Private,"Chicago,Illinois + 104 more",67 years old,5k-10k employees (India)
156,Lava International,4.0,(1.7k Reviews),Public,"Noida,Uttar Pradesh + 191 more",13 years old,1k-5k employees (India)
157,Alembic Pharmaceut...,4.2,(1.7k Reviews),Public,"Vadodara/Baroda,Gujrat + 103 more",115 years old,5k-10k employees (India)
158,CBRE,4.2,(1.7k Reviews),Private,"Los Angeles,California + 39 more",116 years old,5k-10k employees (India)
159,SBI Life Insurance...,3.8,(1.6k Reviews),Public,"Mumbai,Maharashtra + 349 more",21 years old,10k-50k employees (India)
160,IQVIA,4.2,(1.6k Reviews),Partnership,"Danbury,Connecticut + 32 more",40 years old,10k-50k employees (India)
161,Tata Teleservices,4.2,(1.6k Reviews),Public,"Mumbai,Maharashtra + 152 more",26 years old,201-500 employees (India)
162,Suzlon Group,4.1,(1.6k Reviews),Public,"Pune,Maharashtra + 69 more",27 years old,5k-10k employees (India)
163,Cholamandalam Inve...,4.2,(1.6k Reviews),Private,"Chennai,Tamil Nadu + 394 more",44 years old,1k-5k employees (India)
164,Schneider Electric,4.2,(1.6k Reviews),Private,Paris + 57 more,23 years old,10k-50k employees (India)
165,NatWest Group,4.0,(1.6k Reviews),Chennai + 16 more,10k-50k employees (India),,
166,Ecom Express,4.2,(1.6k Reviews),Private,Gurgaon + 368 more,10 years old,10k-50k employees (India)
167,L&T Construction,4.0,(1.6k Reviews),Public,Chennai + 197 more,78 years old,50k-1 Lakh employees (India)
168,Cummins,4.3,(1.6k Reviews),"Columbus,Indiana + 71 more",60 years old,5k-10k employees (India),
169,VE Commercial Vehi...,4.1,(1.6k Reviews),Private,"Gurgaon/Gurugram,Haryana + 93 more",14 years old,1k-5k employees (India)
170,CMS IT Services,3.1,(1.6k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 107 more",8 years old,5k-10k employees (India)
171,Thermax,4.3,(1.6k Reviews),Public,"Pune,Maharashtra + 92 more",42 years old,1k-5k employees (India)
172,DTDC Express,4.0,(1.6k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 165 more",32 years old,1k-5k employees (India)
173,Intas Pharmaceutic...,4.2,(1.5k Reviews),Private,"Ahmedabad,Gujrat + 87 more",22 years old,5k-10k employees (India)
174,KEC International,4.2,(1.5k Reviews),Public,"Mumbai,Maharashtra + 157 more",77 years old,5k-10k employees (India)
175,Amdocs,3.9,(1.5k Reviews),Private,"Chesterfield,Missouri + 9 more",40 years old,5k-10k employees (India)
176,UST,3.9,(1.5k Reviews),Private,"Aliso Viejo,California + 26 more",21 years old,10k-50k employees (India)
177,Bel,4.3,(1.5k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 27 more",68 years old,5k-10k employees (India)
178,ABB Group,4.0,(1.5k Reviews),Public,Zurich + 81 more,21 years old,5k-10k employees (India)
179,Glenmark Pharmaceu...,4.1,(1.5k Reviews),Public,"Mumbai,Maharashtra + 95 more",45 years old,5k-10k employees (India)
180,Varun Beverages,4.0,(1.5k Reviews),Public,"Gurgaon/Gurugram,Haryana + 157 more",27 years old,5k-10k employees (India)
181,Optum,4.1,(1.5k Reviews),Private,"Noida,Uttar Pradesh + 16 more",13 years old,1k-5k employees (India)
182,Robert Bosch Engin...,4.1,(1.5k Reviews),Private,Gerlingen + 15 more,32 years old,10k-50k employees (India)
183,Reliance Nippon Li...,3.8,(1.5k Reviews),Private,"Mumbai,Maharashtra + 348 more",22 years old,10k-50k employees (India)
184,Honda Motorcycle &...,4.1,(1.5k Reviews),Private,"Gurgaon/Gurugram,Haryana + 135 more",23 years old,5k-10k employees (India)
185,Ipca Laboratories,4.0,(1.5k Reviews),Public,"Mumbai,Maharashtra + 86 more",73 years old,5k-10k employees (India)
186,Indiamart Intermes...,3.7,(1.5k Reviews),Private,"Noida,Uttar Pradesh + 70 more",26 years old,10k-50k employees (India)
187,State Street Synte...,3.8,(1.5k Reviews),Private,Mumbai + 11 more,18 years old,501-1k employees (India)
188,Macleods Pharmaceu...,4.1,(1.5k Reviews),Public,"Mumbai,Maharashtra + 64 more",36 years old,5k-10k employees (India)
189,Alkem Laboratories,4.0,(1.5k Reviews),Public,"Mumbai,Maharashtra + 103 more",49 years old,10k-50k employees (India)
190,Indian Oil Corpora...,4.3,(1.5k Reviews),Private,"Delhi/NCR,Delhi + 146 more",63 years old,10k-50k employees (India)
191,Titan Company,4.4,(1.5k Reviews),Public,Mumbai + 105 more,4 years old,5k-10k employees (India)
192,Atos,3.9,(1.5k Reviews),Private,Bezons + 28 more,25 years old,10k-50k employees (India)
193,Future Retail,4.2,(1.5k Reviews),Public,"Mumbai,Maharashtra + 169 more",35 years old,10k-50k employees (India)
194,Standard Chartered...,4.0,(1.5k Reviews),Private,London + 54 more,53 years old,5k-10k employees (India)
195,Radisson Hotels,3.9,(1.4k Reviews),Private,"Minnetonka,Minnesota + 84 more",113 years old,10k-50k employees (India)
196,Bajaj Electricals,4.1,(1.4k Reviews),Public,"Mumbai,Maharashtra + 145 more",84 years old,1k-5k employees (India)
197,Whitehat jr,4.0,(1.4k Reviews),"Mumbai,Maharashtra + 37 more",4 years old,5k-10k employees (India),
198,DCB Bank,3.9,(1.4k Reviews),Private,"Mumbai,Maharashtra + 192 more",92 years old,5k-10k employees (India)
199,Huawei Technologie...,3.7,(1.4k Reviews),Private,"Gurgaon/Gurugram,Haryana + 81 more",20 years old,501-1k employees (India)
200,Rivigo,3.8,(1.4k Reviews),Private,Gurgaon + 131 more,8 years old,1k-5k employees (India)
201,BigBasket,4.1,(1.4k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 53 more",11 years old,1k-5k employees (India)
202,American Express,4.3,(1.4k Reviews),Private,"New York,New York + 31 more",172 years old,10k-50k employees (India)
203,TAFE - Tractors an...,4.2,(1.4k Reviews),Public,"Chennai,Tamil Nadu + 117 more",62 years old,1k-5k employees (India)
204,Torrent Pharmaceut...,4.1,(1.4k Reviews),Public,"Ahmedabad,Gujrat + 81 more",51 years old,5k-10k employees (India)
205,Havells,4.2,(1.4k Reviews),Public,"Noida,Uttar Pradesh + 99 more",39 years old,5k-10k employees (India)
206,Hindalco Industrie...,4.2,(1.4k Reviews),Public,"Mumbai,Maharashtra + 57 more",64 years old,10k-50k employees (India)
207,PepsiCo,4.2,(1.4k Reviews),Private,"Harrison,New York + 184 more",33 years old,1 Lakh+ employees (India)
208,GlobalLogic,3.9,(1.4k Reviews),Private,"San Jose,California + 19 more",22 years old,5k-10k employees (India)
209,Team Lease,4.0,(1.4k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 144 more",6 years old,1k-5k employees (India)
210,HCL Infosystems,3.9,(1.4k Reviews),Public,"Noida,Uttar Pradesh + 93 more",46 years old,10k-50k employees (India)
211,Deutsche Bank,4.2,(1.4k Reviews),Private,Frankfurt + 27 more,152 years old,10k-50k employees (India)
212,ACC,4.1,(1.4k Reviews),Public,"Mumbai,Maharashtra + 147 more",86 years old,5k-10k employees (India)
213,24/7 Customer,3.7,(1.4k Reviews),Private,San Jose + 15 more,22 years old,5k-10k employees (India)
214,Pidilite Industrie...,4.4,(1.4k Reviews),Public,"Mumbai,Maharashtra + 141 more",63 years old,5k-10k employees (India)
215,KPIT Technologies,3.3,(1.4k Reviews),Private,"Pune,Maharashtra + 19 more",32 years old,5k-10k employees (India)
216,Muthoot Finance,3.6,(1.3k Reviews),"Kochi/Cochin,Kerala + 296 more",83 years old,10k-50k employees (India),
217,Randstad,4.1,(1.3k Reviews),Private,"Chennai,Tamil Nadu + 159 more",30 years old,1k-5k employees (India)
218,Fortis Healthcare,4.0,(1.3k Reviews),Public,"Gurgaon/Gurugram,Haryana + 49 more",26 years old,5k-10k employees (India)
219,Landmark Group,4.1,(1.3k Reviews),Private,"Dubai Marina,Dubai + 92 more",49 years old,1k-5k employees (India)
220,Eureka Forbes,4.0,(1.3k Reviews),Private,"Mumbai,Maharashtra + 133 more",40 years old,201-500 employees (India)
221,Swiggy,4.1,(1.3k Reviews),Private,Bangalore + 111 more,8 years old,1k-5k employees (India)
222,Patanjali Ayurved,4.0,(1.3k Reviews),Private,"Haridwar,Uttarakhand + 190 more",16 years old,501-1k employees (India)
223,Capita,3.7,(1.3k Reviews),Private,"Indore,Madhya Pradesh + 11 more",17 years old,1k-5k employees (India)
224,Jindal Steel and P...,3.9,(1.3k Reviews),Private,"Delhi/NCR,New Delhi + 77 more",70 years old,10k-50k employees (Global)
225,Ola Cabs,4.0,(1.3k Reviews),Private,Bangalore + 76 more,12 years old,1k-5k employees (India)
226,Dabur,4.2,(1.3k Reviews),Public,"Ghaziabad,Uttar Pradesh + 154 more",138 years old,5k-10k employees (India)
227,Apollo Tyres,4.2,(1.3k Reviews),Public,"Gurgaon/Gurugram,Haryana + 119 more",50 years old,5k-10k employees (India)
